file,session_id,model,effort,cli_version,test_id,system_memory_instruction,memory_dot_codex_path,memory_md_file,raw_memories_file,memory_summary_file,rollout_summaries_dir,single_url_retrieval_skill,memory_skills_dir,memory_sources,docs_consumption_loaded,docs_consumption_path,docs_consumption_desc,docs_consumption_name_mentioned,docs_consumption_path_mentioned,protocol_prefix,protocol_prefix_source,skill_language,skill_language_source,skill_sources
rollout-2026-07-09T12-34-04-019f485f-7800-7d40-b651-c450ab803fcb.jsonl,019f485f-7800-7d40-b651-c450ab803fcb,gpt-5.4-mini,low,0.144.0-alpha.4,EC-6,false,false,false,false,false,false,false,false,,false,,,false,false,,none,true,commentary,commentary
rollout-2026-07-09T12-45-42-019f486a-215d-7eb3-abf0-224bce98feb3.jsonl,019f486a-215d-7eb3-abf0-224bce98feb3,gpt-5.4-mini,medium,0.144.0-alpha.4,EC-6,false,false,false,false,false,false,false,false,,false,,,false,false,,none,true,commentary,commentary
rollout-2026-07-09T12-52-49-019f4870-a380-7201-a23c-89798eaa77ba.jsonl,019f4870-a380-7201-a23c-89798eaa77ba,gpt-5.4-mini,high,0.144.0-alpha.4,EC-6,false,false,false,false,false,false,false,false,,false,,,false,false,,none,true,final_answer,final_answer
rollout-2026-07-09T13-03-31-019f487a-6e47-7fb1-95eb-a6f168ebed31.jsonl,019f487a-6e47-7fb1-95eb-a6f168ebed31,gpt-5.4-mini,xhigh,0.144.0-alpha.4,EC-6,false,false,false,false,false,false,false,false,,false,,,false,false,,none,true,commentary,commentary
rollout-2026-07-09T17-14-45-019f4960-7325-7d81-9df0-37f3f43cd1de.jsonl,019f4960-7325-7d81-9df0-37f3f43cd1de,gpt-5.4-mini,low,0.144.0-alpha.4,EC-6,false,false,false,false,false,false,false,false,,true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"Improve agent self-reporting when retrieving documentation from a URL by requiring explicit examination of errors, discl",false,false,,none,true,final_answer,"final_answer, system_loaded"
rollout-2026-07-09T17-54-01-019f4984-6752-7af3-9bf5-92441ed39872.jsonl,019f4984-6752-7af3-9bf5-92441ed39872,gpt-5.4-mini,low,0.144.0-alpha.4,EC-6,false,false,false,false,false,false,false,false,,true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",false,false,,none,true,final_answer,"final_answer, system_loaded"
rollout-2026-07-09T18-37-53-019f49ac-8e18-71f0-aec7-06b6d3a747af.jsonl,019f49ac-8e18-71f0-aec7-06b6d3a747af,gpt-5.4-mini,medium,0.144.0-alpha.4,EC-6,false,false,false,false,false,false,false,false,,true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",false,false,,none,true,final_answer,"final_answer, system_loaded"
rollout-2026-07-09T18-51-23-019f49b8-e95d-7903-8899-af9c3dfc30d1.jsonl,019f49b8-e95d-7903-8899-af9c3dfc30d1,gpt-5.4-mini,high,0.144.0-alpha.4,EC-6,true,true,true,false,true,true,true,true,"commentary, final_answer, system, system_instruction, tool_output",true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",false,false,,none,true,commentary,"commentary, system_loaded"
rollout-2026-07-09T19-06-18-019f49c6-93e4-7971-abfc-51a64ecbd6f3.jsonl,019f49c6-93e4-7971-abfc-51a64ecbd6f3,gpt-5.4-mini,xhigh,0.144.0-alpha.4,EC-6,true,true,true,false,true,true,true,true,"commentary, final_answer, system, system_instruction, tool_output",true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",false,false,,none,true,tool_output,"system_loaded, tool_output"
rollout-2026-07-12T12-03-02-019f57b6-24b8-7ec1-ba6a-7ce00378962b.jsonl,019f57b6-24b8-7ec1-ba6a-7ce00378962b,gpt-5.4,low,0.144.0-alpha.4,EC-6,true,true,true,false,true,true,true,true,"final_answer, system, system_instruction",true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",false,false,,none,true,final_answer,"final_answer, system_loaded"
rollout-2026-07-12T12-31-35-019f57d0-467c-7341-a164-4e58be0859fa.jsonl,019f57d0-467c-7341-a164-4e58be0859fa,gpt-5.4,medium,0.144.0-alpha.4,EC-6,true,true,true,false,true,true,true,true,"final_answer, system, system_instruction, tool_output",true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",false,false,,none,true,final_answer,"final_answer, system_loaded"
rollout-2026-07-12T12-54-49-019f57e5-8d61-74c3-bb37-e3fdd541f8e7.jsonl,019f57e5-8d61-74c3-bb37-e3fdd541f8e7,gpt-5.4,high,0.144.0-alpha.4,EC-6,true,true,true,false,true,true,true,true,"final_answer, system, system_instruction",true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,true,,none,true,final_answer,"final_answer, system_loaded, tool_output"
rollout-2026-07-12T13-07-40-019f57f1-4ef1-77b2-ada3-afdbc27e6d6c.jsonl,019f57f1-4ef1-77b2-ada3-afdbc27e6d6c,gpt-5.4,xhigh,0.144.0-alpha.4,EC-6,true,true,true,false,true,true,true,true,"commentary, final_answer, system, system_instruction, tool_output",true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",false,false,,none,true,final_answer,"final_answer, system_loaded"
rollout-2026-07-12T19-18-33-019f5944-de02-7190-93e6-8f75af532c95.jsonl,019f5944-de02-7190-93e6-8f75af532c95,gpt-5.5,low,0.144.0-alpha.4,EC-6,true,true,true,false,true,true,true,true,"commentary, final_answer, system, system_instruction, tool_output",true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,COMPLETE,final_answer,true,final_answer,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-12T19-31-28-019f5950-b350-7ab3-a86e-61678e983928.jsonl,019f5950-b350-7ab3-a86e-61678e983928,gpt-5.5,medium,0.144.0-alpha.4,EC-6,true,true,true,false,true,true,true,true,"commentary, final_answer, system, system_instruction, tool_output",true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,COMPLETE,final_answer,true,commentary,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-12T19-41-31-019f5959-e73a-73b2-9a2b-7294c22ede97.jsonl,019f5959-e73a-73b2-9a2b-7294c22ede97,gpt-5.5,high,0.144.0-alpha.4,EC-6,true,true,true,false,true,true,true,true,"system, system_instruction",true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,COMPLETE,final_answer,true,final_answer,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-12T19-50-56-019f5962-8466-7f82-adb3-6ff3a28f2b10.jsonl,019f5962-8466-7f82-adb3-6ff3a28f2b10,gpt-5.5,xhigh,0.144.0-alpha.4,EC-6,true,true,true,false,true,true,true,true,"final_answer, system, system_instruction, tool_output",true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,COMPLETE,final_answer,true,final_answer,"commentary, final_answer, system_loaded, tool_output"
