file,session_id,model,effort,cli_version,test_id,system_memory_instruction,memory_dot_codex_path,memory_md_file,raw_memories_file,memory_summary_file,rollout_summaries_dir,single_url_retrieval_skill,memory_skills_dir,memory_mentioned,memory_citation_status,memory_citation_source_discrepancy,memory_sources,docs_consumption_loaded,docs_consumption_path,docs_consumption_desc,docs_consumption_name_mentioned,docs_consumption_path_mentioned,protocol_prefix,protocol_prefix_source,skill_language,skill_language_source,skill_sources
rollout-2026-07-21T16-26-37-019f8700-b360-7642-a30b-7b0c43be4719.jsonl,019f8700-b360-7642-a30b-7b0c43be4719,gpt-5.4-mini,low,0.145.0-alpha.18,EC-6,false,false,false,false,false,false,false,false,false,null,,,true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,UNVERIFIABLE,final_answer,true,final_answer,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-21T16-36-41-019f8709-e760-7643-a8a8-962ed960bdd6.jsonl,019f8709-e760-7643-a8a8-962ed960bdd6,gpt-5.4-mini,medium,0.145.0-alpha.18,EC-6,false,false,false,false,false,false,false,false,false,null,,,true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,COMPLETE,final_answer,true,final_answer,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-21T16-50-03-019f8716-2798-7370-9edc-72c9793786ac.jsonl,019f8716-2798-7370-9edc-72c9793786ac,gpt-5.4-mini,high,0.145.0-alpha.18,EC-6,false,false,false,false,false,false,false,false,false,null,,,true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,COMPLETE,final_answer,true,commentary,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-21T17-00-00-019f871f-4162-79d0-914f-9000fe582126.jsonl,019f871f-4162-79d0-914f-9000fe582126,gpt-5.4-mini,xhigh,0.145.0-alpha.18,EC-6,false,false,false,false,false,false,false,false,false,null,,,true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,COMPLETE,final_answer,true,tool_output,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-21T19-39-37-019f87b1-6426-78b0-a445-5b9b3dbb3e2e.jsonl,019f87b1-6426-78b0-a445-5b9b3dbb3e2e,gpt-5.4,low,0.145.0-alpha.18,EC-6,false,false,false,false,false,false,false,false,false,null,,,true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,COMPLETE,final_answer,true,commentary,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-21T19-48-45-019f87b9-c1cc-7551-8b93-acf562e40673.jsonl,019f87b9-c1cc-7551-8b93-acf562e40673,gpt-5.4,medium,0.145.0-alpha.18,EC-6,false,false,false,false,false,false,false,false,false,null,,,true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,COMPLETE,final_answer,true,commentary,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-21T19-58-23-019f87c2-9397-74a2-812d-e33d49d5171b.jsonl,019f87c2-9397-74a2-812d-e33d49d5171b,gpt-5.4,high,0.145.0-alpha.18,EC-6,false,false,false,false,false,false,false,false,false,null,,,true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,PARTIAL,final_answer,true,commentary,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-21T20-10-30-019f87cd-ab8a-7853-b4cc-5de74fb5a1a6.jsonl,019f87cd-ab8a-7853-b4cc-5de74fb5a1a6,gpt-5.4,xhigh,0.145.0-alpha.18,EC-6,false,false,false,false,false,false,false,false,false,null,,,true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,COMPLETE,final_answer,true,commentary,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-21T20-41-16-019f87e9-d6ee-7202-a313-12ecfe3345af.jsonl,019f87e9-d6ee-7202-a313-12ecfe3345af,gpt-5.5,low,0.145.0-alpha.27,EC-6,false,false,false,false,false,false,false,false,false,null,,,true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,COMPLETE,final_answer,true,final_answer,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-21T20-52-05-019f87f3-bc51-7fd3-a63f-edd7584ad87f.jsonl,019f87f3-bc51-7fd3-a63f-edd7584ad87f,gpt-5.5,medium,0.145.0-alpha.27,EC-6,false,false,false,false,false,false,false,false,false,null,,,true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,COMPLETE,final_answer,true,final_answer,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-21T21-00-07-019f87fb-16ce-7980-bea5-de2ec4707c4a.jsonl,019f87fb-16ce-7980-bea5-de2ec4707c4a,gpt-5.5,high,0.145.0-alpha.27,EC-6,false,false,false,false,false,false,false,false,false,null,,,true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,COMPLETE,final_answer,true,final_answer,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-21T21-09-21-019f8803-8aed-7392-8d3a-d2fdf638a01b.jsonl,019f8803-8aed-7392-8d3a-d2fdf638a01b,gpt-5.5,xhigh,0.145.0-alpha.27,EC-6,false,false,false,false,false,false,false,false,false,null,,,true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,COMPLETE,final_answer,true,final_answer,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-21T21-30-35-019f8816-fc1c-7d81-8090-efc5350774fa.jsonl,019f8816-fc1c-7d81-8090-efc5350774fa,gpt-5.6-luna,low,0.145.0-alpha.27,EC-6,false,false,false,false,false,false,false,false,false,null,,,true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,PARTIAL,final_answer,true,tool_output,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-21T21-44-18-019f8823-8a4c-7ae0-ad72-603a58e46414.jsonl,019f8823-8a4c-7ae0-ad72-603a58e46414,gpt-5.6-luna,medium,0.145.0-alpha.27,EC-6,false,false,false,false,false,false,false,false,false,null,,,true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,COMPLETE,final_answer,true,final_answer,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-21T21-53-21-019f882b-d332-71b2-9140-571d8ecfc3d6.jsonl,019f882b-d332-71b2-9140-571d8ecfc3d6,gpt-5.6-luna,high,0.145.0-alpha.27,EC-6,false,false,false,false,false,false,false,false,false,null,,,true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,COMPLETE,final_answer,true,tool_output,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-21T22-01-17-019f8833-173e-7740-b8da-a1949f3fd145.jsonl,019f8833-173e-7740-b8da-a1949f3fd145,gpt-5.6-luna,xhigh,0.145.0-alpha.27,EC-6,false,false,false,false,false,false,false,false,false,null,,,true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,true,PARTIAL,final_answer,true,tool_output,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-22T12-45-13-019f8b5c-5a37-7321-9880-e35901265357.jsonl,019f8b5c-5a37-7321-9880-e35901265357,gpt-5.6-sol,low,0.145.0-alpha.27,EC-6,false,false,false,false,false,false,false,false,false,null,,,true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,COMPLETE,final_answer,true,tool_output,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-22T12-54-32-019f8b64-e109-7942-bbad-52b1adb3b586.jsonl,019f8b64-e109-7942-bbad-52b1adb3b586,gpt-5.6-sol,medium,0.145.0-alpha.27,EC-6,false,false,false,false,false,false,false,false,false,null,,,true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,COMPLETE,final_answer,true,final_answer,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-22T13-04-44-019f8b6e-3775-7093-b372-9344f25240fc.jsonl,019f8b6e-3775-7093-b372-9344f25240fc,gpt-5.6-sol,high,0.145.0-alpha.27,EC-6,false,false,false,false,false,false,false,false,false,null,,,true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,COMPLETE,final_answer,true,final_answer,"commentary, final_answer, system_loaded, tool_output"
